playerID,Name,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
4603,Aaron Martin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4343,Mehdi Abeid,0,0,22,73,0,4,22,10,3,0,63,42,43,5,11,10,0,0,0,311,23.92,0,9,33,2,16,0,0,12,0,0,0,0,0,0,0.00,0,0,12,2,17,0,0,0,0,0,0,0,0,0
2840,Abou Diaby,0,0,247,74,0,31,166,173,44,0,477,749,778,274,130,154,0,0,11,"4,616",37.23,3,47,13,58,140,14,2,151,7,14,2,10,1,2,0.11,0,0,114,37,32,1,0,0,0,0,0,0,0,0
4147,Mohammed Abu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4081,Charlie Adam,0,0,313,78,0,121,210,230,90,0,"1,040",991,"1,041",168,223,153,0,4,25,"7,348",35.50,42,910,23,64,807,48,4,334,2,33,2,3,28,9,0.16,11,2,413,116,28,7,0,0,0,0,0,0,0,0
3952,Adam Tull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4181,Blair Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2845,Emmanuel Adebayor,0,0,141,0,0,102,55,150,57,0,0,0,0,0,0,0,0,0,36,"6,703",27.70,15,189,0,0,0,17,2,315,328,97,20,60,11,12,0.40,10,0,549,239,44,53,0,0,0,0,0,0,0,0
4359,Tom Adeyemi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10544,Krisztian Adorjan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4040,Benik Afobe,0,0,18,0,0,12,7,34,27,0,0,0,0,0,0,0,0,0,3,673,10.68,2,8,0,0,0,1,0,45,27,10,3,4,3,2,0.16,0,0,61,26,43,19,0,0,0,0,0,0,0,0
2622,Gabriel Agbonlahor,0,0,250,0,0,118,103,131,19,0,0,0,0,0,0,0,0,0,34,"5,973",18.55,22,574,0,0,0,40,1,439,195,74,16,31,25,8,0.23,0,0,510,216,42,23,0,0,0,0,0,0,0,0
2916,Daniel Agger,73,125,246,72,2,27,266,952,269,1,515,787,398,58,324,207,1,1,6,"7,115",40.66,2,39,28,5,567,13,1,107,5,9,6,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4328,Sergio Agüero,0,0,154,0,0,232,75,14,3,0,0,0,0,0,0,0,0,0,47,"6,305",22.93,62,177,0,0,0,23,1,169,195,184,19,130,34,34,0.67,27,0,"1,015",423,42,128,0,0,0,0,0,0,0,0
4183,Ahmed El Mohamady,31,246,284,77,0,20,263,364,179,5,972,"1,000",890,130,462,419,1,1,13,"7,098",36.03,20,955,21,7,334,14,1,158,13,6,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4499,Nathan Aké,41,241,285,62,3,23,228,806,438,5,730,772,510,29,385,313,0,0,6,"7,781",43.71,10,65,18,4,301,19,1,116,8,15,8,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3878,Hope Akpan,0,0,10,100,0,0,8,12,1,0,24,27,19,6,8,7,0,0,3,182,20.22,0,5,20,2,7,0,0,7,1,0,0,0,0,0,0.00,0,0,8,1,13,1,0,0,0,0,0,0,0,0
4482,Chuba Akpom,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.00,0,0,2,2,100,1,0,0,0,0,0,0,0,0
3564,Marc Albrighton,0,0,491,72,0,83,292,204,60,0,"1,437","1,128","1,346",336,84,233,0,0,44,"6,780",22.08,70,"1,787",20,36,415,37,1,182,23,19,2,15,2,6,0.06,0,1,246,81,33,15,0,0,0,0,0,0,0,0
4218,Antolín Alcaraz,17,110,241,73,7,9,245,562,217,0,394,512,300,29,188,138,1,2,1,"3,498",42.14,3,12,33,6,348,14,2,75,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3913,Alex Nimely,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4410,Daniel Alfei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2871,Ali Al Habsi,23,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,"1,640",14.77,0,0,0,0,463,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,356,6,71,128,69,52,451,"1,053"
4441,Scott Allan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4413,Joe Allen,0,0,494,71,0,49,314,181,69,0,"1,209","1,001",963,167,92,190,0,1,11,"8,308",41.75,16,153,29,26,466,27,1,183,1,16,2,9,5,0,0.08,0,0,157,49,31,10,0,0,0,0,0,0,0,0
