,MatchID,Score_home,Score_away,Clean sheets_home,Goals Conceded_home,Tackles_home,Tackle success %_home,Last man tackles_home,Blocked shots_home,Interceptions_home,Clearances_home,Headed Clearance_home,Clearances off line_home,Recoveries_home,Duels won_home,Duels lost_home,Successful 50/50s_home,Aerial battles won_home,Aerial battles lost_home,Own goals_home,Errors leading to goal_home,Assists_home,Passes_home,Passes per match_home,Big Chances Created_home,Crosses_home,Cross accuracy %_home,Through balls_home,Accurate long balls_home,Yellow cards_home,Red cards_home,Fouls_home,Offsides_home,Goals_home,Headed goals_home,Goals with right foot_home,Goals with left foot_home,Hit woodwork_home,Goals per match_home,Penalties scored_home,Freekicks scored_home,Shots_home,Shots on target_home,Shooting accuracy %_home,Big chances missed_home,Saves_home,Penalties Saved_home,Punches_home,High Claims_home,Catches_home,Sweeper clearances_home,Throw outs_home,Goal Kicks_home,Clean sheets_away,Goals Conceded_away,Tackles_away,Tackle success %_away,Last man tackles_away,Blocked shots_away,Interceptions_away,Clearances_away,Headed Clearance_away,Clearances off line_away,Recoveries_away,Duels won_away,Duels lost_away,Successful 50/50s_away,Aerial battles won_away,Aerial battles lost_away,Own goals_away,Errors leading to goal_away,Assists_away,Passes_away,Passes per match_away,Big Chances Created_away,Crosses_away,Cross accuracy %_away,Through balls_away,Accurate long balls_away,Yellow cards_away,Red cards_away,Fouls_away,Offsides_away,Goals_away,Headed goals_away,Goals with right foot_away,Goals with left foot_away,Hit woodwork_away,Goals per match_away,Penalties scored_away,Freekicks scored_away,Shots_away,Shots on target_away,Shooting accuracy %_away,Big chances missed_away,Saves_away,Penalties Saved_away,Punches_away,High Claims_away,Catches_away,Sweeper clearances_away,Throw outs_away,Goal Kicks_away
0,8234.0,2.0,1.0,59.0,154.1818181818182,304.3636363636364,52.90909090909091,3.3636363636363638,80.0909090909091,211.45454545454547,637.0909090909091,270.27272727272725,2.727272727272727,751.1818181818181,765.1818181818181,598.1818181818181,76.0909090909091,260.72727272727275,179.9090909090909,0.5454545454545454,4.090909090909091,25.818181818181817,8729.09090909091,31.88545454545454,18.545454545454547,359.27272727272725,15.909090909090908,39.54545454545455,684.1818181818181,31.90909090909091,1.8181818181818181,172.1818181818182,39.81818181818182,42.90909090909091,6.818181818181818,20.272727272727273,8.272727272727273,8.090909090909092,0.13363636363636364,3.727272727272727,1.5454545454545454,215.9090909090909,78.81818181818181,16.636363636363637,11.363636363636363,91.36363636363636,0.36363636363636365,19.727272727272727,52.72727272727273,23.727272727272727,18.818181818181817,183.54545454545453,256.09090909090907,51.18181818181818,177.8181818181818,374.09090909090907,48.18181818181818,5.2727272727272725,59.45454545454545,271.6363636363636,809.4545454545455,293.27272727272725,2.4545454545454546,798.1818181818181,908.0,688.0909090909091,103.36363636363636,274.8181818181818,197.54545454545453,1.4545454545454546,3.272727272727273,17.09090909090909,8040.454545454545,28.96090909090909,18.181818181818183,453.72727272727275,14.272727272727273,21.545454545454547,620.4545454545455,29.0,1.6363636363636365,197.27272727272728,31.363636363636363,19.545454545454547,4.454545454545454,9.0,5.636363636363637,5.363636363636363,0.06909090909090909,0.0,0.36363636363636365,134.8181818181818,45.63636363636363,17.90909090909091,8.636363636363637,90.18181818181819,0.6363636363636364,17.545454545454547,48.90909090909091,22.363636363636363,13.272727272727273,196.1818181818182,304.90909090909093
0,8235.0,1.0,0.0,50.44444444444444,96.33333333333333,309.1111111111111,51.44444444444444,2.6666666666666665,75.0,204.0,524.5555555555555,168.77777777777777,1.5555555555555556,728.6666666666666,678.4444444444445,553.2222222222222,104.88888888888889,158.11111111111111,131.0,1.6666666666666667,2.888888888888889,19.666666666666668,7779.888888888889,31.149999999999995,19.444444444444443,478.8888888888889,15.777777777777779,36.55555555555556,659.8888888888889,24.22222222222222,0.8888888888888888,131.11111111111111,25.555555555555557,20.555555555555557,3.0,8.222222222222221,8.333333333333334,6.777777777777778,0.08,0.4444444444444444,0.7777777777777778,222.55555555555554,70.11111111111111,16.444444444444443,11.0,64.88888888888889,0.4444444444444444,17.444444444444443,33.22222222222222,23.77777777777778,9.11111111111111,174.55555555555554,233.66666666666666,9.727272727272727,71.45454545454545,149.72727272727272,53.18181818181818,1.4545454545454546,29.545454545454547,101.27272727272727,206.0909090909091,74.45454545454545,0.45454545454545453,272.1818181818182,333.27272727272725,282.1818181818182,67.36363636363636,54.45454545454545,50.0,0.5454545454545454,2.3636363636363638,9.181818181818182,2861.090909090909,22.740909090909092,8.363636363636363,192.54545454545453,10.454545454545455,4.909090909090909,214.72727272727272,8.818181818181818,0.7272727272727273,85.27272727272727,26.90909090909091,11.454545454545455,2.0,4.363636363636363,4.363636363636363,2.6363636363636362,0.07,0.45454545454545453,0.2727272727272727,101.36363636363636,33.63636363636363,16.636363636363637,4.181818181818182,72.27272727272727,0.8181818181818182,16.454545454545453,32.09090909090909,23.818181818181817,8.545454545454545,108.0,213.45454545454547
0,8236.0,2.0,3.0,37.09090909090909,124.0,353.3636363636364,56.09090909090909,1.5454545454545454,82.9090909090909,241.0909090909091,505.1818181818182,189.54545454545453,1.7272727272727273,726.9090909090909,804.4545454545455,742.2727272727273,121.72727272727273,209.72727272727272,181.54545454545453,0.5454545454545454,3.3636363636363638,24.636363636363637,8815.363636363636,34.39636363636364,21.90909090909091,504.45454545454544,14.727272727272727,47.18181818181818,525.2727272727273,30.363636363636363,0.9090909090909091,203.27272727272728,31.272727272727273,31.636363636363637,3.5454545454545454,19.90909090909091,7.454545454545454,6.181818181818182,0.12545454545454546,3.8181818181818183,1.1818181818181819,228.72727272727272,78.36363636363636,18.454545454545453,12.727272727272727,85.54545454545455,0.6363636363636364,24.454545454545453,35.54545454545455,22.636363636363637,16.363636363636363,137.8181818181818,255.0909090909091,8.222222222222221,64.22222222222223,127.33333333333333,56.22222222222222,0.5555555555555556,24.666666666666668,80.33333333333333,167.66666666666666,55.77777777777778,0.8888888888888888,298.1111111111111,298.0,351.6666666666667,45.55555555555556,56.44444444444444,83.55555555555556,0.1111111111111111,1.8888888888888888,7.111111111111111,3038.777777777778,29.532222222222224,11.11111111111111,237.44444444444446,19.333333333333332,10.555555555555555,217.11111111111111,11.444444444444445,0.4444444444444444,82.33333333333333,16.555555555555557,10.777777777777779,1.7777777777777777,3.888888888888889,5.0,1.5555555555555556,0.09222222222222222,0.6666666666666666,0.8888888888888888,76.33333333333333,27.666666666666668,19.88888888888889,6.444444444444445,44.0,0.2222222222222222,5.666666666666667,19.666666666666668,8.555555555555555,7.888888888888889,55.333333333333336,124.11111111111111
0,8237.0,0.0,1.0,9.7,57.2,215.6,59.3,2.9,30.5,182.2,236.9,83.0,0.7,483.2,479.8,460.5,78.9,95.4,94.1,0.3,1.4,5.6,3821.6,30.627000000000002,8.5,199.5,14.6,21.2,280.4,17.7,0.9,112.7,15.1,10.1,1.4,5.5,2.9,3.0,0.07999999999999999,0.9,0.4,106.6,34.3,18.6,7.6,30.8,0.0,7.0,9.6,8.1,3.5,32.9,95.6,29.545454545454547,91.0909090909091,300.90909090909093,53.27272727272727,4.090909090909091,59.45454545454545,263.6363636363636,425.8181818181818,187.54545454545453,0.6363636363636364,727.6363636363636,738.0,584.6363636363636,104.0,213.9090909090909,162.54545454545453,0.2727272727272727,2.5454545454545454,21.272727272727273,8334.363636363636,40.63999999999999,22.272727272727273,445.54545454545456,16.181818181818183,46.09090909090909,398.1818181818182,19.363636363636363,1.3636363636363635,138.8181818181818,23.272727272727273,23.272727272727273,2.4545454545454546,15.454545454545455,5.090909090909091,4.909090909090909,0.10181818181818182,2.272727272727273,0.7272727272727273,187.0909090909091,70.0,20.181818181818183,13.545454545454545,32.27272727272727,0.36363636363636365,7.181818181818182,15.181818181818182,9.090909090909092,16.181818181818183,72.81818181818181,90.18181818181819
0,8238.0,1.0,1.0,18.9,75.5,291.4,50.4,2.1,42.7,217.9,360.3,149.6,0.3,699.4,639.4,577.3,87.6,179.0,177.1,0.6,1.5,10.8,6574.8,34.368,14.6,236.8,13.4,14.1,299.9,22.2,0.5,155.3,30.3,14.2,2.8,8.1,2.9,4.4,0.067,0.9,0.4,127.3,43.6,16.4,9.2,5.1,0.2,0.8,1.9,0.6,1.0,7.6,17.7,27.1,134.6,271.5,51.8,3.4,40.3,232.2,728.3,294.0,0.8,557.8,674.5,538.2,56.0,277.6,174.4,0.9,4.3,15.3,5911.7,24.607,13.0,263.6,14.4,7.8,457.3,32.9,1.7,207.2,38.9,22.9,7.4,8.8,3.2,5.2,0.05700000000000001,1.4,0.0,137.2,49.5,16.5,10.2,76.5,0.3,9.1,40.0,13.8,18.1,102.9,235.2
0,8239.0,0.0,3.0,10.5,50.875,153.5,56.625,0.625,22.25,149.0,166.125,63.5,0.375,420.0,335.125,394.0,59.25,55.875,91.75,0.125,1.25,7.75,4574.125,41.09,9.125,222.5,15.5,13.5,266.125,11.5,0.75,85.375,16.25,7.0,1.0,3.875,2.0,1.5,0.07875,0.0,0.125,68.25,21.75,17.0,4.5,40.25,0.375,5.875,16.375,6.125,3.375,72.125,110.125,33.72727272727273,91.18181818181819,130.54545454545453,62.81818181818182,1.8181818181818181,27.0,129.36363636363637,391.90909090909093,131.45454545454547,1.5454545454545454,306.0,322.3636363636364,251.63636363636363,38.18181818181818,104.18181818181819,62.81818181818182,0.5454545454545454,2.272727272727273,14.0,3863.0,26.597272727272728,6.181818181818182,206.0909090909091,14.0,6.7272727272727275,305.09090909090907,11.0,0.5454545454545454,84.0,30.363636363636363,18.09090909090909,2.3636363636363638,7.545454545454546,3.0,3.272727272727273,0.07090909090909091,0.8181818181818182,0.18181818181818182,87.0,34.63636363636363,18.727272727272727,4.2727272727272725,76.0,0.36363636363636365,20.181818181818183,43.18181818181818,22.09090909090909,5.454545454545454,109.72727272727273,227.1818181818182
0,8240.0,1.0,0.0,26.444444444444443,87.77777777777777,376.55555555555554,41.333333333333336,1.0,80.88888888888889,288.77777777777777,408.1111111111111,136.44444444444446,0.5555555555555556,657.6666666666666,642.5555555555555,499.0,103.0,111.11111111111111,87.33333333333333,0.2222222222222222,3.888888888888889,20.444444444444443,8449.0,34.13,16.77777777777778,414.8888888888889,13.0,31.0,646.4444444444445,29.555555555555557,1.7777777777777777,199.66666666666666,57.0,32.111111111111114,4.888888888888889,15.555555555555555,9.222222222222221,7.222222222222222,0.1322222222222222,1.4444444444444444,0.6666666666666666,281.1111111111111,98.88888888888889,23.0,12.333333333333334,105.77777777777777,0.5555555555555556,22.11111111111111,30.0,11.555555555555555,32.0,181.0,281.3333333333333,25.555555555555557,85.33333333333333,262.22222222222223,50.888888888888886,1.3333333333333333,28.11111111111111,175.33333333333334,374.6666666666667,141.22222222222223,1.0,458.3333333333333,495.77777777777777,458.3333333333333,40.55555555555556,124.44444444444444,125.0,0.8888888888888888,2.7777777777777777,8.222222222222221,4516.444444444444,23.803333333333335,7.777777777777778,320.55555555555554,15.777777777777779,10.11111111111111,356.0,21.77777777777778,0.5555555555555556,140.11111111111111,14.88888888888889,11.11111111111111,1.1111111111111112,6.333333333333333,3.0,2.888888888888889,0.061111111111111116,0.3333333333333333,1.3333333333333333,98.77777777777777,35.0,22.0,7.888888888888889,74.44444444444444,0.8888888888888888,22.0,28.333333333333332,12.88888888888889,17.444444444444443,99.22222222222223,220.55555555555554
0,8241.0,5.0,5.0,30.125,176.0,282.5,55.125,1.625,27.375,229.125,586.0,248.0,1.375,581.25,633.125,486.875,48.0,220.5,148.75,1.25,4.5,7.75,6132.875,28.447499999999998,9.625,138.625,18.125,9.125,687.5,28.25,1.25,187.625,30.25,14.5,4.375,6.0,3.25,4.0,0.0375,0.25,0.125,98.375,31.875,13.25,8.875,156.0,1.125,15.125,61.625,29.75,26.5,164.125,436.0,13.11111111111111,32.111111111111114,261.6666666666667,49.44444444444444,0.2222222222222222,53.0,166.11111111111111,150.55555555555554,47.44444444444444,0.2222222222222222,556.3333333333334,461.8888888888889,438.0,77.33333333333333,54.888888888888886,84.11111111111111,0.0,0.7777777777777778,19.77777777777778,6078.444444444444,30.75111111111111,16.555555555555557,370.1111111111111,15.11111111111111,29.0,325.3333333333333,21.0,0.6666666666666666,142.88888888888889,44.55555555555556,30.22222222222222,3.4444444444444446,12.333333333333334,12.333333333333334,7.666666666666667,0.13,1.7777777777777777,0.6666666666666666,183.55555555555554,71.66666666666667,25.444444444444443,16.22222222222222,4.777777777777778,0.0,1.0,2.0,1.2222222222222223,1.2222222222222223,11.88888888888889,18.666666666666668
0,8242.0,4.0,2.0,27.75,106.25,240.125,46.875,1.375,41.375,160.625,505.75,208.875,1.0,403.0,522.0,511.5,64.375,169.0,138.625,0.75,2.0,9.25,4331.75,19.346249999999998,8.125,104.5,16.0,12.75,475.125,31.75,1.5,173.75,25.25,20.375,4.875,6.875,4.125,3.25,0.07,0.375,0.125,158.375,50.25,15.375,12.375,112.75,0.875,15.5,30.5,24.75,15.0,88.625,321.375,5.909090909090909,48.90909090909091,59.45454545454545,50.18181818181818,0.6363636363636364,8.0,52.27272727272727,125.54545454545455,39.09090909090909,0.8181818181818182,136.27272727272728,148.27272727272728,129.36363636363637,12.363636363636363,50.45454545454545,41.63636363636363,0.0,1.3636363636363635,1.9090909090909092,1443.6363636363637,22.99636363636364,2.3636363636363638,95.36363636363636,12.090909090909092,3.4545454545454546,138.72727272727272,5.2727272727272725,0.2727272727272727,40.18181818181818,7.363636363636363,3.5454545454545454,0.8181818181818182,0.6363636363636364,1.9090909090909092,1.0,0.055454545454545465,0.18181818181818182,0.09090909090909091,27.818181818181817,9.818181818181818,20.454545454545453,1.8181818181818181,40.72727272727273,0.09090909090909091,7.090909090909091,11.909090909090908,2.6363636363636362,3.1818181818181817,46.27272727272727,97.63636363636364
0,8243.0,2.0,2.0,10.7,76.8,204.5,62.6,2.2,28.3,162.0,265.0,73.4,0.7,436.9,466.7,440.6,45.5,125.7,107.7,0.4,2.2,7.0,3816.2,27.766000000000002,7.7,140.5,16.0,13.0,250.0,16.3,0.4,121.1,10.8,11.4,2.4,5.6,3.0,2.7,0.072,1.1,0.7,81.6,27.5,22.3,5.3,35.6,0.6,7.1,12.8,6.9,5.2,45.1,105.3,10.181818181818182,84.36363636363636,193.36363636363637,44.36363636363637,0.9090909090909091,33.54545454545455,162.8181818181818,278.45454545454544,104.45454545454545,0.9090909090909091,415.45454545454544,348.3636363636364,273.54545454545456,50.54545454545455,86.9090909090909,76.27272727272727,0.36363636363636365,2.4545454545454546,10.818181818181818,4720.545454545455,27.85272727272727,12.090909090909092,244.8181818181818,12.454545454545455,6.818181818181818,360.3636363636364,20.636363636363637,0.6363636363636364,133.54545454545453,46.63636363636363,20.181818181818183,3.0,10.636363636363637,4.636363636363637,3.272727272727273,0.07545454545454545,1.2727272727272727,0.09090909090909091,136.0909090909091,52.27272727272727,16.636363636363637,8.272727272727273,42.90909090909091,0.18181818181818182,7.454545454545454,30.09090909090909,6.2727272727272725,8.0,53.18181818181818,127.45454545454545
